regime,state,group,year,ci90_width,width_pct_change_vs_main
tight_combined,Mizoram,By2021,2030,0.4825563201432834,-0.5043762274900506
tight_combined,Mizoram,By2021,2040,0.5573353023222438,1.0791395472753178
tight_combined,Mizoram,By2021,2050,0.591424354945135,0.4168781670639551
tight_combined,Nagaland,By2021,2030,0.5194409727223643,1.1399071519623862
tight_combined,Nagaland,By2021,2040,0.5879228062511654,4.697938164677862
tight_combined,Nagaland,By2021,2050,0.6013582752573154,4.1359058475805375
tight_combined,Odisha,By2016,2030,0.43270491881213147,1.5741684531924829
tight_combined,Odisha,By2016,2040,0.5483698130931076,3.125764198304403
tight_combined,Odisha,By2016,2050,0.6021542375953037,4.082656826072694
tight_combined,Puducherry,Pre2001,2030,0.5405487442597219,2.386083167958347
tight_combined,Puducherry,Pre2001,2040,0.5749539357363951,1.836430987897509
tight_combined,Puducherry,Pre2001,2050,0.5995807890820932,2.263433252498729
tight_combined,Punjab,By2011,2030,0.4289915564188125,4.027507608936563
tight_combined,Punjab,By2011,2040,0.5380584544114491,4.20895302112088
tight_combined,Punjab,By2011,2050,0.5752496915589471,4.326517296510338
tight_combined,Rajasthan,By2021,2030,0.5308501027366821,-1.0799098937997222
tight_combined,Rajasthan,By2021,2040,0.6434407866080976,-0.9689192134674208
tight_combined,Rajasthan,By2021,2050,0.6912525258464262,-0.7857503597154459
tight_combined,Sikkim,By2011,2030,0.4629102921527841,4.510006640640995
tight_combined,Sikkim,By2011,2040,0.5446997704924537,6.972705181462397
tight_combined,Sikkim,By2011,2050,0.5783218509844728,6.768766378907652
tight_combined,Tamil Nadu,Pre2001,2030,0.39977602046707816,5.95715985281295
tight_combined,Tamil Nadu,Pre2001,2040,0.5191722953112607,11.556956957765745
tight_combined,Tamil Nadu,Pre2001,2050,0.5573120797299642,8.081910945724122
tight_combined,Telangana,By2011,2030,0.44309879475516345,3.249600643336551
tight_combined,Telangana,By2011,2040,0.5471695849857214,5.1006829367603554
tight_combined,Telangana,By2011,2050,0.5790348199049276,2.680853291568302
tight_combined,Tripura,By2016,2030,0.48209217412069116,4.465472783468483
tight_combined,Tripura,By2016,2040,0.5310105433973389,2.5098691955316528
tight_combined,Tripura,By2016,2050,0.5738099977457516,3.119040344778289
tight_combined,Uttar Pradesh,NotYet,2030,0.5819555221004484,3.5681809688007213
tight_combined,Uttar Pradesh,NotYet,2040,0.7201524134078836,4.183469148070137
